"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"CY025859","1721","Human","4 (HA)","H3N2","USA","N","2007/03/07","Influenza A virus (A/Alabama/UR06-0545/2007(H3N2))","","25 Y","F","","","c"
"CY093263","1731","Human","4 (HA)","H3N2","USA","N","2009/02/01","Influenza A virus (A/Alabama/WRAIR1242P/2009(H3N2))","","","","","","c"
"KM064051","1701","Human","4 (HA)","H3N2","USA","N","2014/01/19","Influenza A virus (A/Alaska/01/2014(H3N2))","","","","","","c"
"KC535500","1701","Human","4 (HA)","H3N2","USA","N","2010/07/22","Influenza A virus (A/Alaska/02/2010(H3N2))","","","","","","c"
"KC892853","1701","Human","4 (HA)","H3N2","USA","N","2012/03/06","Influenza A virus (A/Alaska/02/2012(H3N2))","","","","","","c"
"KF790212","1701","Human","4 (HA)","H3N2","USA","N","2013/02/20","Influenza A virus (A/Alaska/02/2013(H3N2))","","","","","","c"
"KC535486","1701","Human","4 (HA)","H3N2","USA","N","2010/08/06","Influenza A virus (A/Alaska/03/2010(H3N2))","","","","","","c"
"KC892629","1701","Human","4 (HA)","H3N2","USA","N","2012/01/13","Influenza A virus (A/Alaska/03/2012(H3N2))","","","","","","c"
"KY090445","1701","Human","4 (HA)","H3N2","USA","N","2015/02/13","Influenza A virus (A/Alaska/03/2015(H3N2))","","","","","","c"
"FJ532066","1701","Human","4 (HA)","H3N2","USA","N","2008/08/09","Influenza A virus (A/Alaska/04/2008(H3N2))","","","","","","c"
"KC882754","1701","Human","4 (HA)","H3N2","USA","N","2010/09/01","Influenza A virus (A/Alaska/04/2010(H3N2))","","","","","","c"
"KC892601","1701","Human","4 (HA)","H3N2","USA","N","2012/05/14","Influenza A virus (A/Alaska/04/2012(H3N2))","","","","","","c"
"KF790088","1701","Human","4 (HA)","H3N2","USA","N","2012/05/14","Influenza A virus (A/Alaska/04/2012(H3N2))","","","","","","c"
"KF790391","1701","Human","4 (HA)","H3N2","USA","N","2013/04/24","Influenza A virus (A/Alaska/04/2013(H3N2))","","","","","","c"
"KY044323","1737","Human","4 (HA)","H3N2","USA","N","2016/01/20","Influenza A virus (A/Alaska/04/2016(H3N2))","","","","","","c"
"CY220239","1737","Human","4 (HA)","H3N2","USA","N","2017/01/24","Influenza A virus (A/Alaska/04/2017(H3N2))","","","","","","c"
"EU516052","1701","Human","4 (HA)","H3N2","USA","N","2007/03/20","Influenza A virus (A/Alaska/05/2007(H3N2))","","","","","","c"
"KC882787","1701","Human","4 (HA)","H3N2","USA","N","2010/12/08","Influenza A virus (A/Alaska/05/2010(H3N2))","","","","","","c"
"KC882453","1701","Human","4 (HA)","H3N2","USA","N","2010/12/08","Influenza A virus (A/Alaska/05/2010(H3N2))","","","","","","c"
"KF790378","1701","Human","4 (HA)","H3N2","USA","N","2013/04/23","Influenza A virus (A/Alaska/05/2013(H3N2))","","","","","","c"
"KX414920","1737","Human","4 (HA)","H3N2","USA","N","2016/01/31","Influenza A virus (A/Alaska/05/2016(H3N2))","","","","","","c"
"CY222053","1737","Human","4 (HA)","H3N2","USA","N","2017/02/09","Influenza A virus (A/Alaska/05/2017(H3N2))","","","","","","c"
"EU199374","1701","Human","4 (HA)","H3N2","USA","N","2007/03/08","Influenza A virus (A/Alaska/06/2007(H3N2))","","","","","","c"
"KF789569","1701","Human","4 (HA)","H3N2","USA","N","2013/05/21","Influenza A virus (A/Alaska/06/2013(H3N2))","","","","","","c"
"KM064109","1701","Human","4 (HA)","H3N2","USA","N","2014/04/17","Influenza A virus (A/Alaska/06/2014(H3N2))","","","","","","c"
"CY222061","1737","Human","4 (HA)","H3N2","USA","N","2017/02/09","Influenza A virus (A/Alaska/06/2017(H3N2))","","","","","","c"
"KT843470","1701","Human","4 (HA)","H3N2","USA","N","2015/04/18","Influenza A virus (A/Alaska/09/2015(H3N2))","","","","","","c"
"CY223173","1737","Human","4 (HA)","H3N2","USA","N","2017/02/21","Influenza A virus (A/Alaska/09/2017(H3N2))","","","","","","c"
"KC883393","1701","Human","4 (HA)","H3N2","USA","N","2011/02/04","Influenza A virus (A/Alaska/10/2011(H3N2))","","","","","","c"
"KT843433","1701","Human","4 (HA)","H3N2","USA","N","2015/04/12","Influenza A virus (A/Alaska/10/2015(H3N2))","","","","","","c"
"KX003659","1701","Human","4 (HA)","H3N2","USA","N","2015/07/04","Influenza A virus (A/Alaska/104/2015(H3N2))","","","","","","c"
"KX003693","1701","Human","4 (HA)","H3N2","USA","N","2015/07/07","Influenza A virus (A/Alaska/109/2015(H3N2))","","","","","","c"
"KX003707","1701","Human","4 (HA)","H3N2","USA","N","2015/07/04","Influenza A virus (A/Alaska/112/2015(H3N2))","","","","","","c"
"KX003747","1737","Human","4 (HA)","H3N2","USA","N","2015/07/07","Influenza A virus (A/Alaska/117/2015(H3N2))","","","","","","c"
"KX003763","1737","Human","4 (HA)","H3N2","USA","N","2015/07/08","Influenza A virus (A/Alaska/119/2015(H3N2))","","","","","","c"
"CY230738","1737","Human","4 (HA)","H3N2","USA","N","2017/03/30","Influenza A virus (A/Alaska/12/2017(H3N2))","","","","","","c"
"KX003795","1737","Human","4 (HA)","H3N2","USA","N","2015/07/05","Influenza A virus (A/Alaska/122/2015(H3N2))","","","","","","c"
"KX003803","1737","Human","4 (HA)","H3N2","USA","N","2015/07/15","Influenza A virus (A/Alaska/123/2015(H3N2))","","","","","","c"
"KX003811","1737","Human","4 (HA)","H3N2","USA","N","2015/07/14","Influenza A virus (A/Alaska/124/2015(H3N2))","","","","","","c"
"KX003819","1737","Human","4 (HA)","H3N2","USA","N","2015/07/17","Influenza A virus (A/Alaska/126/2015(H3N2))","","","","","","c"
"KX003827","1737","Human","4 (HA)","H3N2","USA","N","2015/07/17","Influenza A virus (A/Alaska/127/2015(H3N2))","","","","","","c"
"KX003843","1737","Human","4 (HA)","H3N2","USA","N","2015/07/18","Influenza A virus (A/Alaska/129/2015(H3N2))","","","","","","c"
"KC883090","1701","Human","4 (HA)","H3N2","USA","N","2011/04/12","Influenza A virus (A/Alaska/13/2011(H3N2))","","","","","","c"
"CY235496","1737","Human","4 (HA)","H3N2","USA","N","2017/04/03","Influenza A virus (A/Alaska/13/2017(H3N2))","","","","","","c"
"KX003851","1737","Human","4 (HA)","H3N2","USA","N","2015/07/23","Influenza A virus (A/Alaska/131/2015(H3N2))","","","","","","c"
"KX003875","1737","Human","4 (HA)","H3N2","USA","N","2015/07/26","Influenza A virus (A/Alaska/134/2015(H3N2))","","","","","","c"
"KT844135","1701","Human","4 (HA)","H3N2","USA","N","2015/08/02","Influenza A virus (A/Alaska/137/2015(H3N2))","","","","","","c"
"KT844143","1701","Human","4 (HA)","H3N2","USA","N","2015/08/03","Influenza A virus (A/Alaska/138/2015(H3N2))","","","","","","c"
"KT844151","1701","Human","4 (HA)","H3N2","USA","N","2015/08/04","Influenza A virus (A/Alaska/139/2015(H3N2))","","","","","","c"
"KM064187","1701","Human","4 (HA)","H3N2","USA","N","2013/09/23","Influenza A virus (A/Alaska/14/2013(H3N2))","","","","","","c"
"KT843621","1701","Human","4 (HA)","H3N2","USA","N","2015/06/03","Influenza A virus (A/Alaska/14/2015(H3N2))","","","","","","c"
"KT844183","1701","Human","4 (HA)","H3N2","USA","N","2015/08/06","Influenza A virus (A/Alaska/143/2015(H3N2))","","","","","","c"
"KT844207","1701","Human","4 (HA)","H3N2","USA","N","2015/07/23","Influenza A virus (A/Alaska/146/2015(H3N2))","","","","","","c"
"KU589699","1701","Human","4 (HA)","H3N2","USA","N","2015/07/24","Influenza A virus (A/Alaska/154/2015(H3N2))","","","","","","c"
"KU589707","1701","Human","4 (HA)","H3N2","USA","N","2015/08/08","Influenza A virus (A/Alaska/155/2015(H3N2))","","","","","","c"
"KU589974","1701","Human","4 (HA)","H3N2","USA","N","2015/08/13","Influenza A virus (A/Alaska/157/2015(H3N2))","","","","","","c"
"KC883438","1701","Human","4 (HA)","H3N2","USA","N","2011/03/24","Influenza A virus (A/Alaska/16/2011(H3N2))","","","","","","c"
"KC892536","1701","Human","4 (HA)","H3N2","USA","N","2012/07/13","Influenza A virus (A/Alaska/16/2012(H3N2))","","","","","","c"
"CY235632","1737","Human","4 (HA)","H3N2","USA","N","2017/04/22","Influenza A virus (A/Alaska/16/2017(H3N2))","","","","","","c"
"KX412093","1701","Human","4 (HA)","H3N2","USA","N","2015/08/04","Influenza A virus (A/Alaska/163/2015(H3N2))","","","","","","c"
"KX412101","1701","Human","4 (HA)","H3N2","USA","N","2015/08/03","Influenza A virus (A/Alaska/164/2015(H3N2))","","","","","","c"
"KX412117","1701","Human","4 (HA)","H3N2","USA","N","2015/08/15","Influenza A virus (A/Alaska/166/2015(H3N2))","","","","","","c"
"KC892914","1701","Human","4 (HA)","H3N2","USA","N","2011/09/16","Influenza A virus (A/Alaska/17/2011(H3N2))","","","","","","c"
"KT844265","1701","Human","4 (HA)","H3N2","USA","N","2015/06/01","Influenza A virus (A/Alaska/17/2015(H3N2))","","","","","","c"
"KX412141","1701","Human","4 (HA)","H3N2","USA","N","2015/08/21","Influenza A virus (A/Alaska/170/2015(H3N2))","","","","","","c"
"KU591548","1701","Human","4 (HA)","H3N2","USA","N","2015/08/26","Influenza A virus (A/Alaska/172/2015(H3N2))","","","","","","c"
"KT844339","1701","Human","4 (HA)","H3N2","USA","N","2015/06/01","Influenza A virus (A/Alaska/18/2015(H3N2))","","","","","","c"
"KU591379","1737","Human","4 (HA)","H3N2","USA","N","2015/08/16","Influenza A virus (A/Alaska/183/2015(H3N2))","","","","","","c"
"KU591405","1737","Human","4 (HA)","H3N2","USA","N","2015/08/20","Influenza A virus (A/Alaska/185/2015(H3N2))","","","","","","c"
"KU589556","1701","Human","4 (HA)","H3N2","USA","N","2015/08/16","Influenza A virus (A/Alaska/192/2015(H3N2))","","","","","","c"
"KX412209","1737","Human","4 (HA)","H3N2","USA","N","2015/08/17","Influenza A virus (A/Alaska/194/2015(H3N2))","","","","","","c"
"KX412217","1737","Human","4 (HA)","H3N2","USA","N","2015/08/24","Influenza A virus (A/Alaska/195/2015(H3N2))","","","","","","c"
"KX412273","1737","Human","4 (HA)","H3N2","USA","N","2015/09/07","Influenza A virus (A/Alaska/205/2015(H3N2))","","","","","","c"
"KX003958","1701","Human","4 (HA)","H3N2","USA","N","2015/09/07","Influenza A virus (A/Alaska/206/2015(H3N2))","","","","","","c"
"KU590321","1701","Human","4 (HA)","H3N2","USA","N","2015/09/02","Influenza A virus (A/Alaska/208/2015(H3N2))","","","","","","c"
"KX003974","1701","Human","4 (HA)","H3N2","USA","N","2015/09/07","Influenza A virus (A/Alaska/209/2015(H3N2))","","","","","","c"
"KC892420","1701","Human","4 (HA)","H3N2","USA","N","2011/11/27","Influenza A virus (A/Alaska/21/2011(H3N2))","","","","","","c"
"KU591797","1701","Human","4 (HA)","H3N2","USA","N","2015/09/06","Influenza A virus (A/Alaska/216/2015(H3N2))","","","","","","c"
"KU591976","1701","Human","4 (HA)","H3N2","USA","N","2015/09/07","Influenza A virus (A/Alaska/217/2015(H3N2))","","","","","","c"
"KU591984","1701","Human","4 (HA)","H3N2","USA","N","2015/09/07","Influenza A virus (A/Alaska/218/2015(H3N2))","","","","","","c"
"KT889133","1701","Human","4 (HA)","H3N2","USA","N","2012/01/29","Influenza A virus (A/Alaska/21usafsam/2012(H3N2))","","","","","","c"
"KF790216","1701","Human","4 (HA)","H3N2","USA","N","2012/10/01","Influenza A virus (A/Alaska/22/2012(H3N2))","","","","","","c"
"KF790196","1701","Human","4 (HA)","H3N2","USA","N","2012/10/01","Influenza A virus (A/Alaska/22/2012(H3N2))","","","","","","c"
"KY090499","1701","Human","4 (HA)","H3N2","USA","N","2015/06/06","Influenza A virus (A/Alaska/22/2015(H3N2))","","","","","","c"
"KX916788","1737","Human","4 (HA)","H3N2","USA","N","2016/06/06","Influenza A virus (A/Alaska/22/2016(H3N2))","","","","","","c"
"KU591813","1701","Human","4 (HA)","H3N2","USA","N","2015/09/03","Influenza A virus (A/Alaska/221/2015(H3N2))","","","","","","c"
"KX412284","1737","Human","4 (HA)","H3N2","USA","N","2015/09/12","Influenza A virus (A/Alaska/224/2015(H3N2))","","","","","","c"
"KX412292","1737","Human","4 (HA)","H3N2","USA","N","2015/09/10","Influenza A virus (A/Alaska/226/2015(H3N2))","","","","","","c"
"KU592008","1701","Human","4 (HA)","H3N2","USA","N","2015/09/13","Influenza A virus (A/Alaska/229/2015(H3N2))","","","","","","c"
"KF790184","1701","Human","4 (HA)","H3N2","USA","N","2012/10/05","Influenza A virus (A/Alaska/23/2012(H3N2))","","","","","","c"
"KF790195","1701","Human","4 (HA)","H3N2","USA","N","2012/10/05","Influenza A virus (A/Alaska/23/2012(H3N2))","","","","","","c"
"KX916780","1737","Human","4 (HA)","H3N2","USA","N","2016/06/15","Influenza A virus (A/Alaska/23/2016(H3N2))","","","","","","c"
"KU592016","1701","Human","4 (HA)","H3N2","USA","N","2015/09/14","Influenza A virus (A/Alaska/230/2015(H3N2))","","","","","","c"
"KY116934","1737","Human","4 (HA)","H3N2","USA","N","2015/09/09","Influenza A virus (A/Alaska/232/2015(H3N2))","","","","","","c"
"KY116959","1737","Human","4 (HA)","H3N2","USA","N","2015/09/09","Influenza A virus (A/Alaska/232/2015(H3N2))","","","","","","c"
"KX412300","1737","Human","4 (HA)","H3N2","USA","N","2015/09/16","Influenza A virus (A/Alaska/233/2015(H3N2))","","","","","","c"
"KX412308","1737","Human","4 (HA)","H3N2","USA","N","2015/09/16","Influenza A virus (A/Alaska/234/2015(H3N2))","","","","","","c"
"KU590778","1737","Human","4 (HA)","H3N2","USA","N","2015/09/16","Influenza A virus (A/Alaska/239/2015(H3N2))","","","","","","c"
"KY003458","1737","Human","4 (HA)","H3N2","USA","N","2016/09/08","Influenza A virus (A/Alaska/24/2016(H3N2))","","","","","","c"
"KY116951","1737","Human","4 (HA)","H3N2","USA","N","2015/09/15","Influenza A virus (A/Alaska/240/2015(H3N2))","","","","","","c"
"KU591868","1701","Human","4 (HA)","H3N2","USA","N","2015/09/10","Influenza A virus (A/Alaska/245/2015(H3N2))","","","","","","c"
"KX412324","1737","Human","4 (HA)","H3N2","USA","N","2015/09/20","Influenza A virus (A/Alaska/250/2015(H3N2))","","","","","","c"
"KX412338","1737","Human","4 (HA)","H3N2","USA","N","2015/09/21","Influenza A virus (A/Alaska/252/2015(H3N2))","","","","","","c"
"KU590526","1701","Human","4 (HA)","H3N2","USA","N","2015/10/02","Influenza A virus (A/Alaska/253/2015(H3N2))","","","","","","c"
"KU590534","1701","Human","4 (HA)","H3N2","USA","N","2015/10/05","Influenza A virus (A/Alaska/254/2015(H3N2))","","","","","","c"
"KU591268","1701","Human","4 (HA)","H3N2","USA","N","2015/10/11","Influenza A virus (A/Alaska/257/2015(H3N2))","","","","","","c"
"KT843655","1701","Human","4 (HA)","H3N2","USA","N","2015/06/14","Influenza A virus (A/Alaska/26/2015(H3N2))","","","","","","c"
"KY116118","1737","Human","4 (HA)","H3N2","USA","N","2016/09/20","Influenza A virus (A/Alaska/26/2016(H3N2))","","","","","","c"
"CY211514","1737","Human","4 (HA)","H3N2","USA","N","2016/09/20","Influenza A virus (A/Alaska/26/2016(H3N2))","","","","","","c"
"KU591582","1701","Human","4 (HA)","H3N2","USA","N","2015/10/22","Influenza A virus (A/Alaska/260/2015(H3N2))","","","","","","c"
"KX413457","1737","Human","4 (HA)","H3N2","USA","N","2015/11/11","Influenza A virus (A/Alaska/264/2015(H3N2))","","","","","","c"
"KX412998","1737","Human","4 (HA)","H3N2","USA","N","2015/11/16","Influenza A virus (A/Alaska/269/2015(H3N2))","","","","","","c"
"KT889139","1701","Human","4 (HA)","H3N2","USA","N","2012/03/06","Influenza A virus (A/Alaska/27/2012(H3N2))","","","","","","c"
"KM852975","1701","Human","4 (HA)","H3N2","USA","N","2014/05/13","Influenza A virus (A/Alaska/27/2014(H3N2))","","","","","","c"
"KC535315","1701","Human","4 (HA)","H3N2","USA","N","2009/04/15","Influenza A virus (A/Alaska/29/2009(H3N2))","","","","","","c"
"KM852961","1701","Human","4 (HA)","H3N2","USA","N","2014/07/18","Influenza A virus (A/Alaska/29/2014(H3N2))","","","","","","c"
"CY209128","1737","Human","4 (HA)","H3N2","USA","N","2016/10/31","Influenza A virus (A/Alaska/29/2016(H3N2))","","","","","","c"
"KF789796","1701","Human","4 (HA)","H3N2","USA","N","2012/12/07","Influenza A virus (A/Alaska/31/2012(H3N2))","","","","","","c"
"CY212474","1737","Human","4 (HA)","H3N2","USA","N","2016/12/05","Influenza A virus (A/Alaska/32/2016(H3N2))","","","","","","c"
"KT843801","1701","Human","4 (HA)","H3N2","USA","N","2015/06/19","Influenza A virus (A/Alaska/33/2015(H3N2))","","","","","","c"
"CY147301","1701","Human","4 (HA)","H3N2","USA","N","2013/03/11","Influenza A virus (A/Alaska/3409/2013(H3N2))","","","","","","c"
"KR057536","1701","Human","4 (HA)","H3N2","USA","N","2014/06/19","Influenza A virus (A/Alaska/35/2014(H3N2))","","","","","","c"
"CY213154","1737","Human","4 (HA)","H3N2","USA","N","2016/12/13","Influenza A virus (A/Alaska/35/2016(H3N2))","","","","","","c"
"KT843825","1701","Human","4 (HA)","H3N2","USA","N","2015/06/16","Influenza A virus (A/Alaska/36/2015(H3N2))","","","","","","c"
"CY214746","1737","Human","4 (HA)","H3N2","USA","N","2016/12/30","Influenza A virus (A/Alaska/37/2016(H3N2))","","","","","","c"
"KT837123","1701","Human","4 (HA)","H3N2","USA","N","2014/09/08","Influenza A virus (A/Alaska/40/2014(H3N2))","","","","","","c"
"CY193262","1701","Human","4 (HA)","H3N2","USA","N","2014/11/04","Influenza A virus (A/Alaska/4009/2014(H3N2))","","","","","","c"
"CY193281","1701","Human","4 (HA)","H3N2","USA","N","2014/11/03","Influenza A virus (A/Alaska/4028/2014(H3N2))","","","","","","c"
